Номер транзакции,холодильник,микроволновка,пылесос,гриль,посудомойка,плита,телевизор,миксер,утюг
0,0,0,1,1,1,1,1,0,0
1,0,0,0,1,1,1,0,1,1
2,1,0,1,0,0,1,0,1,1
3,1,0,0,1,0,1,0,1,1
4,1,1,0,0,0,0,1,1,1
5,1,1,1,1,0,0,0,0,1
6,0,0,1,1,1,1,0,0,1
7,1,0,0,1,1,0,1,1,0
8,1,1,0,1,0,1,0,0,1
9,1,0,1,1,0,1,1,0,0
10,0,1,0,1,0,1,1,0,1
11,1,0,1,1,0,1,1,0,0
12,0,1,1,1,1,0,0,1,0
13,1,1,1,0,1,0,0,0,1
14,0,1,0,1,0,0,1,1,1
15,0,1,0,1,0,0,1,1,1
16,0,1,1,1,0,1,1,0,0
17,1,1,1,1,0,1,0,0,0
18,1,0,1,0,0,1,0,1,1
19,0,0,0,1,1,0,1,1,1
20,1,0,1,0,1,0,0,1,1
21,1,1,1,0,0,1,0,0,1
22,0,0,0,1,0,1,1,1,1
23,0,0,0,1,1,0,1,1,1
24,1,1,0,1,0,0,1,1,0
25,0,1,0,0,1,1,1,1,0
26,1,1,0,1,0,1,0,0,1
27,1,0,0,0,1,1,1,1,0
28,0,1,1,0,0,0,1,1,1
29,1,0,1,0,0,1,1,1,0
